Freq.	V(n003)
1.07400447162014e+000	(-2.15392182929609e-011dB,-1.27591731228261e-004°)
1.07474917285551e+000	(-2.15681481169576e-011dB,-1.27680201735024e-004°)
1.07549439045739e+000	(-2.15990065958874e-011dB,-1.27768733586126e-004°)
1.07624012478381e+000	(-2.16279364198841e-011dB,-1.27857326824104e-004°)
1.07698637619306e+000	(-2.16568662438807e-011dB,-1.27945981491523e-004°)
1.07773314504368e+000	(-2.16857960678774e-011dB,-1.28034697630976e-004°)
1.07848043169446e+000	(-2.17176188742737e-011dB,-1.28123475285092e-004°)
1.07922823650444e+000	(-2.17455843708038e-011dB,-1.28212314496517e-004°)
1.07997655983290e+000	(-2.17783715046667e-011dB,-1.28301215307933e-004°)
1.08072540203936e+000	(-2.18082656561300e-011dB,-1.28390177762062e-004°)
1.08147476348363e+000	(-2.18381598075932e-011dB,-1.28479201901640e-004°)
1.08222464452573e+000	(-2.18690182865230e-011dB,-1.28568287769441e-004°)
1.08297504552594e+000	(-2.18989124379862e-011dB,-1.28657435408265e-004°)
1.08372596684479e+000	(-2.19288065894494e-011dB,-1.28746644860945e-004°)
1.08447740884308e+000	(-2.19577364134461e-011dB,-1.28835916170340e-004°)
1.08522937188182e+000	(-2.19866662374428e-011dB,-1.28925249379343e-004°)
1.08598185632231e+000	(-2.20204176987722e-011dB,-1.29014644530872e-004°)
1.08673486252607e+000	(-2.20512761777020e-011dB,-1.29104101667876e-004°)
1.08748839085490e+000	(-2.20782773467656e-011dB,-1.29193620833343e-004°)
1.08824244167082e+000	(-2.21120288080950e-011dB,-1.29283202070271e-004°)
1.08899701533612e+000	(-2.21419229595582e-011dB,-1.29372845421714e-004°)
1.08975211221334e+000	(-2.21737457659546e-011dB,-1.29462550930725e-004°)
1.09050773266527e+000	(-2.22046042448844e-011dB,-1.29552318640413e-004°)
1.09126387705495e+000	(-2.22344983963476e-011dB,-1.29642148593910e-004°)
1.09202054574567e+000	(-2.22643925478108e-011dB,-1.29732040834367e-004°)
1.09277773910097e+000	(-2.22971796816737e-011dB,-1.29821995404973e-004°)
1.09353545748465e+000	(-2.23280381606035e-011dB,-1.29912012348950e-004°)
1.09429370126075e+000	(-2.23579323120667e-011dB,-1.30002091709555e-004°)
1.09505247079359e+000	(-2.23887907909965e-011dB,-1.30092233530055e-004°)
1.09581176644771e+000	(-2.24206135973929e-011dB,-1.30182437853760e-004°)
1.09657158858791e+000	(-2.24485790939230e-011dB,-1.30272704724022e-004°)
1.09733193757926e+000	(-2.24842592101855e-011dB,-1.30363034184191e-004°)
1.09809281378706e+000	(-2.25141533616488e-011dB,-1.30453426277675e-004°)
1.09885421757689e+000	(-2.25459761680451e-011dB,-1.30543881047909e-004°)
1.09961614931457e+000	(-2.25768346469749e-011dB,-1.30634398538344e-004°)
1.10037860936615e+000	(-2.26086574533712e-011dB,-1.30724978792472e-004°)
1.10114159809798e+000	(-2.26404802597676e-011dB,-1.30815621853813e-004°)
1.10190511587663e+000	(-2.26684457562977e-011dB,-1.30906327765916e-004°)
1.10266916306893e+000	(-2.27031615450937e-011dB,-1.30997096572361e-004°)
1.10343374004198e+000	(-2.27340200240235e-011dB,-1.31087928316758e-004°)
1.10419884716311e+000	(-2.27648785029533e-011dB,-1.31178823042748e-004°)
1.10496448479993e+000	(-2.27967013093496e-011dB,-1.31269780794002e-004°)
1.10573065332029e+000	(-2.28265954608129e-011dB,-1.31360801614223e-004°)
1.10649735309229e+000	(-2.28613112496089e-011dB,-1.31451885547133e-004°)
1.10726458448430e+000	(-2.28912054010721e-011dB,-1.31543032636501e-004°)
1.10803234786494e+000	(-2.29249568624015e-011dB,-1.31634242926124e-004°)
1.10880064360309e+000	(-2.29548510138648e-011dB,-1.31725516459811e-004°)
1.10956947206786e+000	(-2.29866738202611e-011dB,-1.31816853281433e-004°)
1.11033883362866e+000	(-2.30194609541240e-011dB,-1.31908253434851e-004°)
1.11110872865511e+000	(-2.30512837605204e-011dB,-1.31999716963997e-004°)
1.11187915751712e+000	(-2.30821422394502e-011dB,-1.32091243912797e-004°)
1.11265012058485e+000	(-2.31130007183799e-011dB,-1.32182834325246e-004°)
1.11342161822870e+000	(-2.31457878522428e-011dB,-1.32274488245335e-004°)
1.11419365081935e+000	(-2.31805036410388e-011dB,-1.32366205717103e-004°)
1.11496621872772e+000	(-2.32113621199686e-011dB,-1.32457986784617e-004°)
1.11573932232498e+000	(-2.32412562714319e-011dB,-1.32549831491971e-004°)
1.11651296198259e+000	(-2.32769363876944e-011dB,-1.32641739883292e-004°)
1.11728713807224e+000	(-2.33068305391577e-011dB,-1.32733712002745e-004°)
1.11806185096588e+000	(-2.33405820004871e-011dB,-1.32825747894506e-004°)
1.11883710103573e+000	(-2.33733691343500e-011dB,-1.32917847602806e-004°)
1.11961288865426e+000	(-2.34061562682129e-011dB,-1.33010011171890e-004°)
1.12038921419420e+000	(-2.34379790746093e-011dB,-1.33102238646031e-004°)
1.12116607802853e+000	(-2.34698018810056e-011dB,-1.33194530069546e-004°)
1.12194348053050e+000	(-2.35035533423351e-011dB,-1.33286885486783e-004°)
1.12272142207363e+000	(-2.35363404761980e-011dB,-1.33379304942103e-004°)
1.12349990303166e+000	(-2.35691276100609e-011dB,-1.33471788479920e-004°)
1.12427892377864e+000	(-2.36009504164572e-011dB,-1.33564336144660e-004°)
1.12505848468883e+000	(-2.36337375503201e-011dB,-1.33656947980791e-004°)
1.12583858613678e+000	(-2.36684533391161e-011dB,-1.33749624032804e-004°)
1.12661922849730e+000	(-2.36973831631128e-011dB,-1.33842364345236e-004°)
1.12740041214544e+000	(-2.37311346244423e-011dB,-1.33935168962635e-004°)
1.12818213745653e+000	(-2.37658504132383e-011dB,-1.34028037929592e-004°)
1.12896440480615e+000	(-2.37976732196346e-011dB,-1.34120971290726e-004°)
1.12974721457014e+000	(-2.38294960260310e-011dB,-1.34213969090691e-004°)
1.13053056712461e+000	(-2.38632474873604e-011dB,-1.34307031374161e-004°)
1.13131446284592e+000	(-2.38979632761564e-011dB,-1.34400158185849e-004°)
1.13209890211069e+000	(-2.39288217550862e-011dB,-1.34493349570500e-004°)
1.13288388529582e+000	(-2.39625732164157e-011dB,-1.34586605572896e-004°)
1.13366941277844e+000	(-2.39972890052117e-011dB,-1.34679926237828e-004°)
1.13445548493598e+000	(-2.40310404665412e-011dB,-1.34773311610148e-004°)
1.13524210214609e+000	(-2.40638276004041e-011dB,-1.34866761734706e-004°)
1.13602926478671e+000	(-2.40985433892001e-011dB,-1.34960276656411e-004°)
1.13681697323604e+000	(-2.41313305230630e-011dB,-1.35053856420191e-004°)
1.13760522787253e+000	(-2.41641176569259e-011dB,-1.35147501071006e-004°)
1.13839402907490e+000	(-2.41978691182553e-011dB,-1.35241210653847e-004°)
1.13918337722214e+000	(-2.42296919246517e-011dB,-1.35334985213735e-004°)
1.13997327269348e+000	(-2.42644077134477e-011dB,-1.35428824795734e-004°)
1.14076371586845e+000	(-2.42981591747772e-011dB,-1.35522729444919e-004°)
1.14155470712680e+000	(-2.43309463086401e-011dB,-1.35616699206410e-004°)
1.14234624684857e+000	(-2.43656620974361e-011dB,-1.35710734125359e-004°)
1.14313833541406e+000	(-2.44003778862321e-011dB,-1.35804834246936e-004°)
1.14393097320383e+000	(-2.44341293475616e-011dB,-1.35898999616360e-004°)
1.14472416059871e+000	(-2.44688451363576e-011dB,-1.35993230278871e-004°)
1.14551789797978e+000	(-2.45016322702205e-011dB,-1.36087526279742e-004°)
1.14631218572840e+000	(-2.45344194040834e-011dB,-1.36181887664278e-004°)
1.14710702422619e+000	(-2.45691351928794e-011dB,-1.36276314477814e-004°)
1.14790241385503e+000	(-2.46028866542089e-011dB,-1.36370806765720e-004°)
1.14869835499706e+000	(-2.46366381155383e-011dB,-1.36465364573396e-004°)
1.14949484803470e+000	(-2.46723182318009e-011dB,-1.36559987946261e-004°)
1.15029189335063e+000	(-2.47070340205969e-011dB,-1.36654676929796e-004°)
1.15108949132779e+000	(-2.47398211544598e-011dB,-1.36749431569478e-004°)
1.15188764234938e+000	(-2.47735726157893e-011dB,-1.36844251910850e-004°)
1.15268634679889e+000	(-2.48082884045853e-011dB,-1.36939137999447e-004°)
1.15348560506005e+000	(-2.48439685208479e-011dB,-1.37034089880872e-004°)
1.15428541751686e+000	(-2.48786843096439e-011dB,-1.37129107600739e-004°)
1.15508578455361e+000	(-2.49114714435068e-011dB,-1.37224191204706e-004°)
1.15588670655482e+000	(-2.49452229048363e-011dB,-1.37319340738450e-004°)
1.15668818390531e+000	(-2.49789743661657e-011dB,-1.37414556247685e-004°)
1.15749021699015e+000	(-2.50165831373614e-011dB,-1.37509837778169e-004°)
1.15829280619467e+000	(-2.50493702712243e-011dB,-1.37605185375662e-004°)
1.15909595190448e+000	(-2.50869790424200e-011dB,-1.37700599085987e-004°)
1.15989965450546e+000	(-2.51188018488163e-011dB,-1.37796078954983e-004°)
1.16070391438375e+000	(-2.51544819650789e-011dB,-1.37891625028523e-004°)
1.16150873192575e+000	(-2.51911264088080e-011dB,-1.37987237352512e-004°)
1.16231410751814e+000	(-2.52248778701375e-011dB,-1.38082915972885e-004°)
1.16312004154788e+000	(-2.52595936589335e-011dB,-1.38178660935620e-004°)
1.16392653440216e+000	(-2.52952737751961e-011dB,-1.38274472286709e-004°)
1.16473358646848e+000	(-2.53299895639921e-011dB,-1.38370350072187e-004°)
1.16554119813459e+000	(-2.53637410253216e-011dB,-1.38466294338119e-004°)
1.16634936978850e+000	(-2.53984568141176e-011dB,-1.38562305130603e-004°)
1.16715810181850e+000	(-2.54351012578467e-011dB,-1.38658382495767e-004°)
1.16796739461315e+000	(-2.54688527191762e-011dB,-1.38754526479770e-004°)
1.16877724856127e+000	(-2.55045328354388e-011dB,-1.38850737128808e-004°)
1.16958766405198e+000	(-2.55431059341010e-011dB,-1.38947014489105e-004°)
1.17039864147462e+000	(-2.55768573954305e-011dB,-1.39043358606915e-004°)
1.17121018121884e+000	(-2.56125375116931e-011dB,-1.39139769528521e-004°)
1.17202228367454e+000	(-2.56472533004891e-011dB,-1.39236247300262e-004°)
1.17283494923191e+000	(-2.56819690892851e-011dB,-1.39332791968476e-004°)
1.17364817828138e+000	(-2.57186135330142e-011dB,-1.39429403579556e-004°)
1.17446197121368e+000	(-2.57542936492768e-011dB,-1.39526082179907e-004°)
1.17527632841980e+000	(-2.57899737655394e-011dB,-1.39622827815996e-004°)
1.17609125029099e+000	(-2.58275825367351e-011dB,-1.39719640534293e-004°)
1.17690673721880e+000	(-2.58613339980646e-011dB,-1.39816520381316e-004°)
1.17772278959501e+000	(-2.58989427692602e-011dB,-1.39913467403609e-004°)
1.17853940781171e+000	(-2.59346228855228e-011dB,-1.40010481647750e-004°)
1.17935659226125e+000	(-2.59693386743188e-011dB,-1.40107563160357e-004°)
1.18017434333623e+000	(-2.60050187905814e-011dB,-1.40204711988068e-004°)
1.18099266142956e+000	(-2.60416632343106e-011dB,-1.40301928177551e-004°)
1.18181154693440e+000	(-2.60773433505731e-011dB,-1.40399211775528e-004°)
1.18263100024417e+000	(-2.61130234668357e-011dB,-1.40496562828726e-004°)
1.18345102175260e+000	(-2.61506322380314e-011dB,-1.40593981383927e-004°)
1.18427161185366e+000	(-2.61853480268274e-011dB,-1.40691467487933e-004°)
1.18509277094161e+000	(-2.62239211254897e-011dB,-1.40789021187583e-004°)
1.18591449941098e+000	(-2.62596012417523e-011dB,-1.40886642529737e-004°)
1.18673679765656e+000	(-2.62962456854814e-011dB,-1.40984331561315e-004°)
1.18755966607344e+000	(-2.63309614742774e-011dB,-1.41082088329240e-004°)
1.18838310505696e+000	(-2.63695345729397e-011dB,-1.41179912880485e-004°)
1.18920711500275e+000	(-2.64052146892022e-011dB,-1.41277805262041e-004°)
1.19003169630671e+000	(-2.64418591329314e-011dB,-1.41375765520947e-004°)
1.19085684936500e+000	(-2.64775392491940e-011dB,-1.41473793704272e-004°)
1.19168257457408e+000	(-2.65151480203897e-011dB,-1.41571889859112e-004°)
1.19250887233066e+000	(-2.65527567915853e-011dB,-1.41670054032597e-004°)
1.19333574303176e+000	(-2.65894012353145e-011dB,-1.41768286271880e-004°)
1.19416318707462e+000	(-2.66250813515771e-011dB,-1.41866586624175e-004°)
1.19499120485682e+000	(-2.66617257953062e-011dB,-1.41964955136699e-004°)
1.19581979677616e+000	(-2.66993345665019e-011dB,-1.42063391856716e-004°)
1.19664896323075e+000	(-2.67369433376976e-011dB,-1.42161896831521e-004°)
1.19747870461896e+000	(-2.67735877814267e-011dB,-1.42260470108437e-004°)
1.19830902133945e+000	(-2.68111965526224e-011dB,-1.42359111734831e-004°)
1.19913991379115e+000	(-2.68478409963516e-011dB,-1.42457821758095e-004°)
1.19997138237325e+000	(-2.68825567851476e-011dB,-1.42556600225648e-004°)
1.20080342748524e+000	(-2.69240228662095e-011dB,-1.42655447184952e-004°)
1.20163604952689e+000	(-2.69606673099386e-011dB,-1.42754362683496e-004°)
1.20246924889821e+000	(-2.69973117536678e-011dB,-1.42853346768815e-004°)
1.20330302599954e+000	(-2.70368491797966e-011dB,-1.42952399488448e-004°)
1.20413738123145e+000	(-2.70725292960592e-011dB,-1.43051520889996e-004°)
1.20497231499482e+000	(-2.71082094123218e-011dB,-1.43150711021087e-004°)
1.20580782769080e+000	(-2.71467825109840e-011dB,-1.43249969929368e-004°)
1.20664391972080e+000	(-2.71863199371128e-011dB,-1.43349297662532e-004°)
1.20748059148653e+000	(-2.72229643808420e-011dB,-1.43448694268297e-004°)
1.20831784338998e+000	(-2.72615374795042e-011dB,-1.43548159794426e-004°)
1.20915567583340e+000	(-2.72991462506999e-011dB,-1.43647694288707e-004°)
1.20999408921933e+000	(-2.73367550218956e-011dB,-1.43747297798952e-004°)
1.21083308395059e+000	(-2.73714708106916e-011dB,-1.43846970373028e-004°)
1.21167266043028e+000	(-2.74129368917536e-011dB,-1.43946712058814e-004°)
1.21251281906177e+000	(-2.74505456629492e-011dB,-1.44046522904232e-004°)
1.21335356024873e+000	(-2.74871901066784e-011dB,-1.44146402957248e-004°)
1.21419488439508e+000	(-2.75286561877403e-011dB,-1.44246352265831e-004°)
1.21503679190505e+000	(-2.75662649589360e-011dB,-1.44346370878015e-004°)
1.21587928318313e+000	(-2.76019450751986e-011dB,-1.44446458841850e-004°)
1.21672235863411e+000	(-2.76414825013274e-011dB,-1.44546616205422e-004°)
1.21756601866302e+000	(-2.76800555999897e-011dB,-1.44646843016863e-004°)
1.21841026367523e+000	(-2.77186286986519e-011dB,-1.44747139324309e-004°)
1.21925509407634e+000	(-2.77562374698476e-011dB,-1.44847505175961e-004°)
1.22010051027226e+000	(-2.77938462410433e-011dB,-1.44947940620035e-004°)
1.22094651266917e+000	(-2.78333836671721e-011dB,-1.45048445704788e-004°)
1.22179310167354e+000	(-2.78729210933009e-011dB,-1.45149020478506e-004°)
1.22264027769211e+000	(-2.79114941919632e-011dB,-1.45249664989511e-004°)
1.22348804113190e+000	(-2.79491029631589e-011dB,-1.45350379286159e-004°)
1.22433639240024e+000	(-2.79876760618211e-011dB,-1.45451163416836e-004°)
1.22518533190472e+000	(-2.80272134879500e-011dB,-1.45552017429967e-004°)
1.22603486005320e+000	(-2.80657865866122e-011dB,-1.45652941374003e-004°)
1.22688497725384e+000	(-2.81043596852745e-011dB,-1.45753935297442e-004°)
1.22773568391510e+000	(-2.81429327839367e-011dB,-1.45854999248799e-004°)
1.22858698044569e+000	(-2.81834345375321e-011dB,-1.45956133276632e-004°)
1.22943886725462e+000	(-2.82229719636609e-011dB,-1.46057337429536e-004°)
1.23029134475118e+000	(-2.82615450623232e-011dB,-1.46158611756124e-004°)
1.23114441334496e+000	(-2.83010824884520e-011dB,-1.46259956305060e-004°)
1.23199807344580e+000	(-2.83406199145808e-011dB,-1.46361371125042e-004°)
1.23285232546385e+000	(-2.83791930132430e-011dB,-1.46462856264783e-004°)
1.23370716980954e+000	(-2.84187304393719e-011dB,-1.46564411773053e-004°)
1.23456260689358e+000	(-2.84592321929672e-011dB,-1.46666037698634e-004°)
1.23541863712697e+000	(-2.84968409641629e-011dB,-1.46767734090363e-004°)
1.23627526092099e+000	(-2.85373427177583e-011dB,-1.46869500997092e-004°)
1.23713247868721e+000	(-2.85768801438871e-011dB,-1.46971338467719e-004°)
1.23799029083749e+000	(-2.86144889150828e-011dB,-1.47073246551167e-004°)
1.23884869778395e+000	(-2.86588479785444e-011dB,-1.47175225296413e-004°)
1.23970769993903e+000	(-2.86945280948070e-011dB,-1.47277274752432e-004°)
1.24056729771543e+000	(-2.87369585033355e-011dB,-1.47379394968268e-004°)
1.24142749152615e+000	(-2.87736029470646e-011dB,-1.47481585992981e-004°)
1.24228828178448e+000	(-2.88150690281266e-011dB,-1.47583847875667e-004°)
1.24314966890398e+000	(-2.88546064542554e-011dB,-1.47686180665466e-004°)
1.24401165329851e+000	(-2.88941438803842e-011dB,-1.47788584411535e-004°)
1.24487423538221e+000	(-2.89356099614461e-011dB,-1.47891059163075e-004°)
1.24573741556952e+000	(-2.89751473875749e-011dB,-1.47993604969330e-004°)
1.24660119427514e+000	(-2.90166134686369e-011dB,-1.48096221879560e-004°)
1.24746557191409e+000	(-2.90561508947657e-011dB,-1.48198909943066e-004°)
1.24833054890166e+000	(-2.90966526483611e-011dB,-1.48301669209186e-004°)
1.24919612565342e+000	(-2.91361900744899e-011dB,-1.48404499727291e-004°)
1.25006230258525e+000	(-2.91766918280853e-011dB,-1.48507401546796e-004°)
1.25092908011331e+000	(-2.92171935816806e-011dB,-1.48610374717128e-004°)
1.25179645865404e+000	(-2.92586596627426e-011dB,-1.48713419287766e-004°)
1.25266443862417e+000	(-2.92991614163379e-011dB,-1.48816535308220e-004°)
1.25353302044074e+000	(-2.93377345150002e-011dB,-1.48919722828024e-004°)
1.25440220452104e+000	(-2.93792005960621e-011dB,-1.49022981896764e-004°)
1.25527199128269e+000	(-2.94225953320572e-011dB,-1.49126312564047e-004°)
1.25614238114357e+000	(-2.94592397757863e-011dB,-1.49229714879519e-004°)
1.25701337452187e+000	(-2.95026345117814e-011dB,-1.49333188892861e-004°)
1.25788497183606e+000	(-2.95431362653767e-011dB,-1.49436734653786e-004°)
1.25875717350490e+000	(-2.95855666739052e-011dB,-1.49540352212043e-004°)
1.25962997994745e+000	(-2.96251041000341e-011dB,-1.49644041617416e-004°)
1.26050339158303e+000	(-2.96675345085625e-011dB,-1.49747802919726e-004°)
1.26137740883130e+000	(-2.97080362621579e-011dB,-1.49851636168816e-004°)
1.26225203211216e+000	(-2.97485380157533e-011dB,-1.49955541414586e-004°)
1.26312726184585e+000	(-2.97909684242818e-011dB,-1.50059518706943e-004°)
1.26400309845285e+000	(-2.98314701778772e-011dB,-1.50163568095852e-004°)
1.26487954235398e+000	(-2.98729362589391e-011dB,-1.50267689631306e-004°)
1.26575659397033e+000	(-2.99134380125345e-011dB,-1.50371883363327e-004°)
1.26663425372327e+000	(-2.99558684210630e-011dB,-1.50476149341978e-004°)
1.26751252203447e+000	(-2.99963701746583e-011dB,-1.50580487617349e-004°)
1.26839139932591e+000	(-3.00388005831868e-011dB,-1.50684898239571e-004°)
1.26927088601985e+000	(-3.00793023367822e-011dB,-1.50789381258810e-004°)
1.27015098253884e+000	(-3.01236614002438e-011dB,-1.50893936725268e-004°)
1.27103168930571e+000	(-3.01641631538392e-011dB,-1.50998564689166e-004°)
1.27191300674362e+000	(-3.02046649074346e-011dB,-1.51103265200792e-004°)
1.27279493527599e+000	(-3.02470953159631e-011dB,-1.51208038310437e-004°)
